Repository,URL,Description,Stars,Subscribers,Open Issues,Last Update,Created,Last Release,Docs,CRDs Total,CRDs Alpha,CRDs Beta,CRDs V1
crossplane-contrib / provider-aws,https://github.com/crossplane-contrib/provider-aws,Crossplane AWS Provider,250,21,214,2022-08-16,2019-09-01,0001-01-01,,0,0,0,0
crossplane-contrib / provider-helm,https://github.com/crossplane-contrib/provider-helm,Crossplane Helm Provider,57,14,30,2022-08-14,2020-07-22,2022-03-11,https://doc.crds.dev/github.com/crossplane-contrib/provider-helm@v0.10.0,3,0,3,0
crossplane-contrib / provider-alibaba,https://github.com/crossplane-contrib/provider-alibaba,Crossplane provider for Alibaba Cloud,39,13,14,2022-08-13,2020-03-04,0001-01-01,,0,0,0,0
crossplane-contrib / provider-argocd,https://github.com/crossplane-contrib/provider-argocd,Crossplane provider to provision and manage ArgoCD objects,30,10,7,2022-08-10,2021-04-06,0001-01-01,,0,0,0,0
crossplane-contrib / provider-gcp,https://github.com/crossplane-contrib/provider-gcp,Crossplane GCP provider,85,16,83,2022-08-09,2019-08-23,2022-03-23,https://doc.crds.dev/github.com/crossplane-contrib/provider-gcp@v0.21.0,28,17,11,0
crossplane / provider-template,https://github.com/crossplane/provider-template,A template for building @crossplane providers.,58,9,11,2022-08-09,2020-07-16,0001-01-01,,0,0,0,0
crossplane-contrib / provider-sql,https://github.com/crossplane-contrib/provider-sql,An SQL provider for @crossplane,45,8,25,2022-08-06,2020-10-05,2022-05-19,https://doc.crds.dev/github.com/crossplane-contrib/provider-sql@v0.5.0,16,16,0,0
crossplane-contrib / provider-azure,https://github.com/crossplane-contrib/provider-azure,Crossplane Azure Provider,71,19,90,2022-08-05,2019-08-30,0001-01-01,,0,0,0,0
ionos-cloud / crossplane-provider-ionoscloud,https://github.com/ionos-cloud/crossplane-provider-ionoscloud,The Crossplane Provider for IONOS Cloud gives the ability to manage IONOS Cloud infrastructure directly from Kubernetes.,5,4,0,2022-08-03,2022-01-26,2022-07-28,https://doc.crds.dev/github.com/ionos-cloud/crossplane-provider-ionoscloud@v1.0.0,18,18,0,0
crossplane-contrib / provider-cloudflare,https://github.com/crossplane-contrib/provider-cloudflare,A Cloudflare provider for Crossplane,14,2,7,2022-07-28,2021-03-10,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-vault,https://github.com/crossplane-contrib/provider-jet-vault,Generated crossplane provider for vault,6,1,3,2022-07-27,2022-03-04,0001-01-01,,0,0,0,0
abacus3 / provider-jet-grafana,https://github.com/abacus3/provider-jet-grafana,This crossplane provider is based on the provider-grafana Terraform provider and was build using crossplane terrajet.,2,1,0,2022-07-27,2022-02-07,2022-02-09,https://doc.crds.dev/github.com/abacus3/provider-jet-grafana@v0.1.0,7,7,0,0
crossplane-contrib / provider-jet-aws,https://github.com/crossplane-contrib/provider-jet-aws,AWS Provider for Crossplane that is built with Terrajet.,35,6,31,2022-07-26,2021-08-09,0001-01-01,,0,0,0,0
IBM / crossplane-provider-ibm-cloud,https://github.com/IBM/crossplane-provider-ibm-cloud,IBM Bedrock version of Crossplane Provider for IBM Cloud,1,5,0,2022-07-23,2021-11-30,2022-05-23,https://doc.crds.dev/github.com/IBM/crossplane-provider-ibm-cloud@v1.8.0,15,13,2,0
crossplane-contrib / provider-digitalocean,https://github.com/crossplane-contrib/provider-digitalocean,Crossplane DigitalOcean infrastructure provider,27,8,21,2022-07-21,2020-12-16,2022-01-30,https://doc.crds.dev/github.com/crossplane-contrib/provider-digitalocean@v0.1.0,6,6,0,0
crossplane-contrib / provider-kafka,https://github.com/crossplane-contrib/provider-kafka,Crossplane provider for Kafka,15,12,5,2022-07-18,2021-10-06,2022-04-06,https://doc.crds.dev/github.com/crossplane-contrib/provider-kafka@v0.1.0,4,4,0,0
multicloudlab / crossplane-provider-ansible,https://github.com/multicloudlab/crossplane-provider-ansible,Crossplane Ansible provider,12,3,4,2022-07-14,2021-11-24,2022-05-20,https://doc.crds.dev/github.com/multicloudlab/crossplane-provider-ansible@v0.1.0,3,3,0,0
Sijoma / crossplane-provider-camunda,https://github.com/Sijoma/crossplane-provider-camunda,Crossplane provider for Camunda SaaS,0,1,0,2022-07-11,2022-05-21,0001-01-01,,0,0,0,0
crossplane-contrib / provider-capi,https://github.com/crossplane-contrib/provider-capi,@crossplane provider for @kubernetes-sigs Cluster API,11,3,1,2022-06-25,2020-11-12,0001-01-01,,0,0,0,0
crossplane-contrib / provider-ssh,https://github.com/crossplane-contrib/provider-ssh,@crossplane SSH Provider,5,3,1,2022-06-19,2020-09-18,0001-01-01,,0,0,0,0
crossplane-contrib / provider-cloudinit,https://github.com/crossplane-contrib/provider-cloudinit,Crossplane provider for Cloud-init templating,9,3,3,2022-06-19,2021-03-27,0001-01-01,,0,0,0,0
negz / provider-nop,https://github.com/negz/provider-nop,The least useful @crossplane provider,1,2,0,2022-06-17,2020-07-03,0001-01-01,,0,0,0,0
herveleclerc / crossplane-provider-azure,https://github.com/herveleclerc/crossplane-provider-azure,En attendant le fix-298,1,1,0,2022-06-10,2021-12-07,0001-01-01,,0,0,0,0
crossplane-contrib / provider-linode,https://github.com/crossplane-contrib/provider-linode,Demonstrative Crossplane Stack for Linode resources,3,3,1,2022-06-07,2019-09-16,0001-01-01,,0,0,0,0
marcosQuesada / provider-planetscale,https://github.com/marcosQuesada/provider-planetscale,,0,1,0,2022-06-04,2022-06-04,0001-01-01,,0,0,0,0
alperencelik / crossplane-terrajet-sample,https://github.com/alperencelik/crossplane-terrajet-sample,Repository to test terrajet for vsphere,0,1,0,2022-06-02,2022-06-02,0001-01-01,,0,0,0,0
jdotw / provider-harbor,https://github.com/jdotw/provider-harbor,,0,1,0,2022-05-29,2022-05-29,0001-01-01,,0,0,0,0
jcooklin / provider-okta,https://github.com/jcooklin/provider-okta,,0,1,0,2022-05-28,2022-05-28,0001-01-01,,0,0,0,0
crossplane-contrib / provider-rook,https://github.com/crossplane-contrib/provider-rook,Crossplane Rook infrastructure provider,19,12,2,2022-05-25,2019-10-03,0001-01-01,,0,0,0,0
janwillies / provider-jet-akamai,https://github.com/janwillies/provider-jet-akamai,,1,1,0,2022-05-25,2022-02-03,0001-01-01,,0,0,0,0
jabbrwcky / provider-b2,https://github.com/jabbrwcky/provider-b2,Backblaze Crossplane Provider,0,1,0,2022-05-24,2022-05-24,0001-01-01,,0,0,0,0
crossplane-contrib / provider-planetscale,https://github.com/crossplane-contrib/provider-planetscale,,1,3,2,2022-05-23,2022-05-20,0001-01-01,,0,0,0,0
anasinnyk / provider-cloudflare,https://github.com/anasinnyk/provider-cloudflare,,0,2,0,2022-05-21,2022-05-21,0001-01-01,,0,0,0,0
ewadegam / crossplane-provider-splunk,https://github.com/ewadegam/crossplane-provider-splunk,,0,1,0,2022-05-21,2022-05-21,0001-01-01,,0,0,0,0
anasinnyk / provider-github,https://github.com/anasinnyk/provider-github,,0,2,1,2022-05-21,2022-05-21,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-template,https://github.com/crossplane-contrib/provider-jet-template,A template for building terrajet based @crossplane providers,12,5,4,2022-05-20,2021-10-22,0001-01-01,,0,0,0,0
davidcollom / crossplane-jet-cloudflare,https://github.com/davidcollom/crossplane-jet-cloudflare,,1,1,1,2022-05-20,2022-03-14,2022-03-16,https://doc.crds.dev/github.com/davidcollom/crossplane-jet-cloudflare@0.0.1,65,65,0,0
rajan2 / provider-planetscale,https://github.com/rajan2/provider-planetscale,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
ig12 / crossplanprovider,https://github.com/ig12/crossplanprovider,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
j-gourdon / planet-scale-provider,https://github.com/j-gourdon/planet-scale-provider,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
qamodi / crossplane,https://github.com/qamodi/crossplane,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
samidbb / provider-planetscale,https://github.com/samidbb/provider-planetscale,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
headyj / crossplane-provider-neo4j,https://github.com/headyj/crossplane-provider-neo4j,,0,1,0,2022-05-17,2022-05-17,0001-01-01,,0,0,0,0
hprotzek / provider-jet-okta,https://github.com/hprotzek/provider-jet-okta,Crossplane Okta Jet Provider,0,2,0,2022-05-11,2022-05-03,0001-01-01,,0,0,0,0
j-griffith / terrajet-eksctl,https://github.com/j-griffith/terrajet-eksctl,,0,1,0,2022-05-11,2022-05-11,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-gcp,https://github.com/crossplane-contrib/provider-jet-gcp,GCP Provider for Crossplane generated using Terrajet,11,4,17,2022-05-09,2021-10-26,2022-01-07,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-gcp@v0.2.0-preview,438,438,0,0
CanerSermet57 / provider-jet-template-TEST,https://github.com/CanerSermet57/provider-jet-template-TEST,,0,1,0,2022-05-07,2022-05-07,0001-01-01,,0,0,0,0
juliosueiras / provider-jet-openstack,https://github.com/juliosueiras/provider-jet-openstack,,0,1,1,2022-05-05,2022-05-05,0001-01-01,,0,0,0,0
stevendborrelli / provider-echo,https://github.com/stevendborrelli/provider-echo,Testing provider that echoes values sent to it ,0,1,0,2022-05-04,2022-05-04,0001-01-01,,0,0,0,0
halochou / crossplane-provider-jet-openstack,https://github.com/halochou/crossplane-provider-jet-openstack,,0,1,0,2022-04-28,2022-04-28,0001-01-01,,0,0,0,0
Striar-Yunis / provider-jet-rke,https://github.com/Striar-Yunis/provider-jet-rke,Crossplane Provider created with Terrajet from RKE Terraform Provider. ,0,1,0,2022-04-25,2022-04-25,0001-01-01,,0,0,0,0
Striar-Yunis / provider-jet-rancher-test,https://github.com/Striar-Yunis/provider-jet-rancher-test,Base template,0,1,0,2022-04-24,2022-04-24,0001-01-01,,0,0,0,0
loafoe / provider-jet-hsdp,https://github.com/loafoe/provider-jet-hsdp,HSDP Terrajet Provider,0,1,0,2022-04-21,2022-04-21,0001-01-01,,0,0,0,0
conmurphy / crossplane-test,https://github.com/conmurphy/crossplane-test,,0,2,0,2022-04-16,2022-04-16,0001-01-01,,0,0,0,0
perlinger / provider-jet-github,https://github.com/perlinger/provider-jet-github,,0,1,0,2022-04-11,2022-04-11,0001-01-01,,0,0,0,0
elvis-cai / provider-jet-github,https://github.com/elvis-cai/provider-jet-github,,0,1,0,2022-04-07,2022-04-07,0001-01-01,,0,0,0,0
acald-creator / how-to-use-terrajet,https://github.com/acald-creator/how-to-use-terrajet,,0,1,0,2022-04-07,2022-04-07,0001-01-01,,0,0,0,0
malarinv / provider-jet-gitea,https://github.com/malarinv/provider-jet-gitea,Gitea Provider for Crossplane that is built with Terrajet.,0,2,0,2022-04-02,2022-04-02,0001-01-01,,0,0,0,0
perlinger / provider-jet-github-readme,https://github.com/perlinger/provider-jet-github-readme,,0,1,0,2022-04-01,2022-04-01,0001-01-01,,0,0,0,0
conmurphy / crossplane-github,https://github.com/conmurphy/crossplane-github,,0,2,0,2022-03-31,2022-03-31,0001-01-01,,0,0,0,0
moeller142 / provider-test,https://github.com/moeller142/provider-test,,0,1,0,2022-03-31,2022-03-31,0001-01-01,,0,0,0,0
mleahu / provider-jet-awssc,https://github.com/mleahu/provider-jet-awssc,Crossplane provider for AWS Service Catalog resources generated by Crossplane Terrajet,0,1,0,2022-03-31,2022-03-31,0001-01-01,,0,0,0,0
DZhuribeda / provider-jet-digitalocean,https://github.com/DZhuribeda/provider-jet-digitalocean,,0,1,0,2022-03-29,2022-03-29,0001-01-01,,0,0,0,0
mleahu / provider-jet-aws4,https://github.com/mleahu/provider-jet-aws4,Crossplane Terrajet provider ,0,1,0,2022-03-29,2022-03-29,0001-01-01,,0,0,0,0
luebken / provider-dummy,https://github.com/luebken/provider-dummy,A dummy provider to learn writing a provider.,0,1,1,2022-03-28,2022-03-28,0001-01-01,,0,0,0,0
maltejk / provider-metakube,https://github.com/maltejk/provider-metakube,,0,1,0,2022-03-26,2022-03-26,0001-01-01,,0,0,0,0
maltejk / provider-jet-metakube,https://github.com/maltejk/provider-jet-metakube,,0,2,1,2022-03-26,2021-12-06,0001-01-01,,0,0,0,0
AaronME / provider-jet-vault-old,https://github.com/AaronME/provider-jet-vault-old,Generated crossplane provider for vault,0,0,0,2022-03-24,2022-03-06,0001-01-01,,0,0,0,0
timgchile / provider-jet-mongodba,https://github.com/timgchile/provider-jet-mongodba,,0,1,0,2022-03-21,2022-03-21,0001-01-01,,0,0,0,0
d3ployment / provider-jet-esxi,https://github.com/d3ployment/provider-jet-esxi,ESXi Provider for Crossplane generated using Terrajet ,0,1,0,2022-03-16,2022-03-16,0001-01-01,,0,0,0,0
Piotr1215 / provider-jet-archive,https://github.com/Piotr1215/provider-jet-archive,Generating archive utility TF provider,0,2,0,2022-03-16,2022-03-16,0001-01-01,,0,0,0,0
davidcollom / crossplane-jet-uptimerobot,https://github.com/davidcollom/crossplane-jet-uptimerobot,,0,1,1,2022-03-16,2022-03-16,2022-03-16,https://doc.crds.dev/github.com/davidcollom/crossplane-jet-uptimerobot@0.0.1,5,5,0,0
Piotr1215 / provider-dogfacts,https://github.com/Piotr1215/provider-dogfacts,Crossplane provider a fun learning experience,0,2,0,2022-03-15,2022-03-15,0001-01-01,,0,0,0,0
AlertoJon-io / opsgenie-crossplane-provider,https://github.com/AlertoJon-io/opsgenie-crossplane-provider,,0,1,0,2022-03-15,2022-03-15,0001-01-01,,0,0,0,0
arianvp / provider-jet-vultr,https://github.com/arianvp/provider-jet-vultr,,0,1,0,2022-03-12,2022-03-12,0001-01-01,,0,0,0,0
AaronME / provider-cards,https://github.com/AaronME/provider-cards,A sample provider to generate playing cards,0,1,0,2022-03-10,2022-02-14,0001-01-01,,0,0,0,0
abdelazizhd / provider-jet-template,https://github.com/abdelazizhd/provider-jet-template,,0,1,0,2022-03-09,2022-03-09,0001-01-01,,0,0,0,0
timgchile / provider-jet-imgix,https://github.com/timgchile/provider-jet-imgix,,0,1,0,2022-03-09,2022-02-24,0001-01-01,,0,0,0,0
arijanluiken / shizzle-provider,https://github.com/arijanluiken/shizzle-provider,,0,1,0,2022-03-09,2022-03-09,0001-01-01,,0,0,0,0
