Repository,URL,Description,Stars,Subscribers,Open Issues,Last Update,Created,Last Release,Docs,CRDs Total,CRDs Alpha,CRDs Beta,CRDs V1
crossplane-contrib / provider-terraform,https://github.com/crossplane-contrib/provider-terraform,A @crossplane provider for Terraform,60,10,20,2022-07-12,2021-03-06,0001-01-01,,0,0,0,0
crossplane-contrib / provider-kubernetes,https://github.com/crossplane-contrib/provider-kubernetes,Crossplane provider to provision and manage Kubernetes objects on (remote) Kubernetes clusters.,51,9,14,2022-07-12,2021-07-13,2022-03-11,https://doc.crds.dev/github.com/crossplane-contrib/provider-kubernetes@v0.3.0,3,3,0,0
crossplane-contrib / provider-aws,https://github.com/crossplane-contrib/provider-aws,Crossplane AWS Provider,238,20,212,2022-07-12,2019-09-01,2022-07-05,https://doc.crds.dev/github.com/crossplane-contrib/provider-aws@v0.29.0,164,127,37,0
crossplane-contrib / provider-github,https://github.com/crossplane-contrib/provider-github,Crossplane Provider for GitHub,13,14,5,2022-07-12,2020-03-04,0001-01-01,,0,0,0,0
crossplane-contrib / provider-kafka,https://github.com/crossplane-contrib/provider-kafka,Crossplane provider for Kafka,14,11,5,2022-07-12,2021-10-06,2022-04-06,https://doc.crds.dev/github.com/crossplane-contrib/provider-kafka@v0.1.0,4,4,0,0
crossplane-contrib / provider-sql,https://github.com/crossplane-contrib/provider-sql,An SQL provider for @crossplane,44,7,24,2022-07-12,2020-10-05,0001-01-01,,0,0,0,0
yandex-cloud / provider-jet-yc,https://github.com/yandex-cloud/provider-jet-yc,Crossplane provider for Yandex.Cloud,10,14,2,2022-07-11,2021-12-13,0001-01-01,,0,0,0,0
crossplane-contrib / provider-gcp,https://github.com/crossplane-contrib/provider-gcp,Crossplane GCP provider,83,16,77,2022-07-11,2019-08-23,2022-03-23,https://doc.crds.dev/github.com/crossplane-contrib/provider-gcp@v0.21.0,28,17,11,0
Sijoma / crossplane-provider-camunda,https://github.com/Sijoma/crossplane-provider-camunda,Crossplane provider for Camunda SaaS,0,1,0,2022-07-11,2022-05-21,0001-01-01,,0,0,0,0
crossplane / provider-template,https://github.com/crossplane/provider-template,A template for building @crossplane providers.,55,8,9,2022-07-10,2020-07-16,0001-01-01,,0,0,0,0
crossplane-contrib / provider-azure,https://github.com/crossplane-contrib/provider-azure,Crossplane Azure Provider,69,18,88,2022-07-10,2019-08-30,2022-05-20,https://doc.crds.dev/github.com/crossplane-contrib/provider-azure@v0.19.0,24,17,7,0
crossplane-contrib / provider-digitalocean,https://github.com/crossplane-contrib/provider-digitalocean,Crossplane DigitalOcean infrastructure provider,24,7,21,2022-07-08,2020-12-16,2022-01-30,https://doc.crds.dev/github.com/crossplane-contrib/provider-digitalocean@v0.1.0,6,6,0,0
crossplane-contrib / provider-argocd,https://github.com/crossplane-contrib/provider-argocd,Crossplane provider to provision and manage ArgoCD objects,27,10,7,2022-06-29,2021-04-06,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-mongodbatlas,https://github.com/crossplane-contrib/provider-jet-mongodbatlas,MongoDB Atlas Provider based on Terrajet,6,5,2,2022-06-28,2021-12-21,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-aws,https://github.com/crossplane-contrib/provider-jet-aws,AWS Provider for Crossplane that is built with Terrajet.,32,6,23,2022-06-27,2021-08-09,2022-03-17,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-aws@v0.4.2,81,81,0,0
crossplane-contrib / provider-ibm-cloud,https://github.com/crossplane-contrib/provider-ibm-cloud,Crossplane provider for @ibm-cloud,10,6,0,2022-06-26,2020-10-14,0001-01-01,,0,0,0,0
crossplane-contrib / provider-capi,https://github.com/crossplane-contrib/provider-capi,@crossplane provider for @kubernetes-sigs Cluster API,11,3,0,2022-06-25,2020-11-12,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-vault,https://github.com/crossplane-contrib/provider-jet-vault,Generated crossplane provider for vault,5,1,3,2022-06-25,2022-03-04,0001-01-01,,0,0,0,0
crossplane-contrib / provider-cloudflare,https://github.com/crossplane-contrib/provider-cloudflare,A Cloudflare provider for Crossplane,13,2,7,2022-06-25,2021-03-10,0001-01-01,,0,0,0,0
crossplane-contrib / provider-nop,https://github.com/crossplane-contrib/provider-nop,The least useful @crossplane provider,5,6,1,2022-06-25,2021-04-08,0001-01-01,,0,0,0,0
spectrocloud / provider-jet-palette,https://github.com/spectrocloud/provider-jet-palette,Crossplane Provider for Spectro Cloud Palette,1,5,0,2022-06-21,2022-04-25,0001-01-01,,0,0,0,0
crossplane-contrib / provider-ssh,https://github.com/crossplane-contrib/provider-ssh,@crossplane SSH Provider,5,3,1,2022-06-19,2020-09-18,0001-01-01,,0,0,0,0
crossplane-contrib / provider-cloudinit,https://github.com/crossplane-contrib/provider-cloudinit,Crossplane provider for Cloud-init templating,9,3,3,2022-06-19,2021-03-27,0001-01-01,,0,0,0,0
ionos-cloud / crossplane-provider-ionoscloud,https://github.com/ionos-cloud/crossplane-provider-ionoscloud,The Crossplane Provider for IONOS Cloud gives the ability to manage IONOS Cloud infrastructure directly from Kubernetes.,4,4,0,2022-06-17,2022-01-26,0001-01-01,,0,0,0,0
crossplane-contrib / provider-alibaba,https://github.com/crossplane-contrib/provider-alibaba,Crossplane provider for Alibaba Cloud,38,13,14,2022-06-17,2020-03-04,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-linode,https://github.com/crossplane-contrib/provider-jet-linode,,0,3,3,2022-06-07,2021-12-02,0001-01-01,,0,0,0,0
