Repository,URL,Description,Stars,Subscribers,Open Issues,Last Update,Created,Last Release,Docs,CRDs Total,CRDs Alpha,CRDs Beta,CRDs V1
crossplane-contrib / provider-terraform,https://github.com/crossplane-contrib/provider-terraform,A @crossplane provider for Terraform,57,10,17,2022-06-15,2021-03-06,2022-04-07,https://doc.crds.dev/github.com/crossplane-contrib/provider-terraform@v0.2.0,3,3,0,0
yandex-cloud / provider-jet-yc,https://github.com/yandex-cloud/provider-jet-yc,Crossplane provider for Yandex.Cloud,7,14,2,2022-06-14,2021-12-13,0001-01-01,,0,0,0,0
remyleone / crossplane-scaleway-provider,https://github.com/remyleone/crossplane-scaleway-provider,Scaleway provider for Crossplane ,6,2,0,2022-06-11,2022-01-31,2022-02-14,https://doc.crds.dev/github.com/remyleone/crossplane-scaleway-provider@v0.0.1,41,41,0,0
herveleclerc / crossplane-provider-azure,https://github.com/herveleclerc/crossplane-provider-azure,En attendant le fix-298,1,1,0,2022-06-10,2021-12-07,0001-01-01,,0,0,0,0
crossplane / provider-template,https://github.com/crossplane/provider-template,A template for building @crossplane providers.,53,8,7,2022-06-09,2020-07-16,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-linode,https://github.com/crossplane-contrib/provider-jet-linode,,0,3,3,2022-06-07,2021-12-02,0001-01-01,,0,0,0,0
crossplane-contrib / provider-linode,https://github.com/crossplane-contrib/provider-linode,Demonstrative Crossplane Stack for Linode resources,3,3,1,2022-06-07,2019-09-16,0001-01-01,,0,0,0,0
crossplane-contrib / provider-kubernetes,https://github.com/crossplane-contrib/provider-kubernetes,Crossplane provider to provision and manage Kubernetes objects on (remote) Kubernetes clusters.,46,9,13,2022-06-07,2021-07-13,2022-03-11,https://doc.crds.dev/github.com/crossplane-contrib/provider-kubernetes@v0.3.0,3,3,0,0
crossplane-contrib / provider-sql,https://github.com/crossplane-contrib/provider-sql,An SQL provider for @crossplane,39,7,20,2022-06-03,2020-10-05,2022-05-19,https://doc.crds.dev/github.com/crossplane-contrib/provider-sql@v0.5.0,16,16,0,0
jdotw / provider-harbor,https://github.com/jdotw/provider-harbor,,0,1,0,2022-05-29,2022-05-29,0001-01-01,,0,0,0,0
ionos-cloud / crossplane-provider-ionoscloud,https://github.com/ionos-cloud/crossplane-provider-ionoscloud,The Crossplane Provider for IONOS Cloud gives the ability to manage IONOS Cloud infrastructure directly from Kubernetes.,3,4,1,2022-05-29,2022-01-26,2022-06-14,https://doc.crds.dev/github.com/ionos-cloud/crossplane-provider-ionoscloud@v1.0.0-beta.2,14,14,0,0
jcooklin / provider-okta,https://github.com/jcooklin/provider-okta,,0,1,0,2022-05-28,2022-05-28,0001-01-01,,0,0,0,0
crossplane-contrib / provider-kafka,https://github.com/crossplane-contrib/provider-kafka,Crossplane provider for Kafka,13,11,6,2022-05-26,2021-10-06,2022-04-06,https://doc.crds.dev/github.com/crossplane-contrib/provider-kafka@v0.1.0,4,4,0,0
multicloudlab / crossplane-provider-ansible,https://github.com/multicloudlab/crossplane-provider-ansible,Crossplane Ansible provider,10,4,5,2022-05-26,2021-11-24,2022-05-20,https://doc.crds.dev/github.com/multicloudlab/crossplane-provider-ansible@v0.1.0,3,3,0,0
crossplane-contrib / provider-rook,https://github.com/crossplane-contrib/provider-rook,Crossplane Rook infrastructure provider,19,12,2,2022-05-25,2019-10-03,0001-01-01,,0,0,0,0
janwillies / provider-jet-akamai,https://github.com/janwillies/provider-jet-akamai,,1,1,0,2022-05-25,2022-02-03,0001-01-01,,0,0,0,0
jabbrwcky / provider-b2,https://github.com/jabbrwcky/provider-b2,Backblaze Crossplane Provider,0,1,0,2022-05-24,2022-05-24,0001-01-01,,0,0,0,0
vshn / provider-jet-cloudscale,https://github.com/vshn/provider-jet-cloudscale,Terrajet-based provider for cloudscale.ch,0,4,1,2022-05-24,2022-05-02,2022-05-24,https://doc.crds.dev/github.com/vshn/provider-jet-cloudscale@v0.3.0,4,4,0,0
crossplane-contrib / provider-planetscale,https://github.com/crossplane-contrib/provider-planetscale,,1,3,1,2022-05-23,2022-05-20,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-vault,https://github.com/crossplane-contrib/provider-jet-vault,Generated crossplane provider for vault,3,1,3,2022-05-23,2022-03-04,0001-01-01,,0,0,0,0
ewadegam / crossplane-provider-splunk,https://github.com/ewadegam/crossplane-provider-splunk,,0,1,0,2022-05-21,2022-05-21,0001-01-01,,0,0,0,0
poblin-orange / provider-jet-cf,https://github.com/poblin-orange/provider-jet-cf,experimental crossplane provider for cf,0,1,0,2022-05-21,2022-05-21,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-template,https://github.com/crossplane-contrib/provider-jet-template,A template for building terrajet based @crossplane providers,12,5,3,2022-05-20,2021-10-22,0001-01-01,,0,0,0,0
davidcollom / crossplane-jet-cloudflare,https://github.com/davidcollom/crossplane-jet-cloudflare,,1,1,1,2022-05-20,2022-03-14,2022-03-16,https://doc.crds.dev/github.com/davidcollom/crossplane-jet-cloudflare@0.0.1,65,65,0,0
kbabiak / crossplane-provider-demo,https://github.com/kbabiak/crossplane-provider-demo,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
rajan2 / provider-planetscale,https://github.com/rajan2/provider-planetscale,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
ig12 / crossplanprovider,https://github.com/ig12/crossplanprovider,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
rtemperini / crossplane-provider-planetscale,https://github.com/rtemperini/crossplane-provider-planetscale,crossplane-provider-planetscale kubecon,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
KipsasJaujoj / provider-planetscale,https://github.com/KipsasJaujoj/provider-planetscale,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
j-gourdon / planet-scale-provider,https://github.com/j-gourdon/planet-scale-provider,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
qamodi / crossplane,https://github.com/qamodi/crossplane,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
ndrpnt / crossplane-planetscale-provider,https://github.com/ndrpnt/crossplane-planetscale-provider,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
vasu1124 / provider-planetscale,https://github.com/vasu1124/provider-planetscale,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
samidbb / provider-planetscale,https://github.com/samidbb/provider-planetscale,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
william86370 / vsphere-jet-template,https://github.com/william86370/vsphere-jet-template,,0,1,0,2022-05-17,2022-05-17,0001-01-01,,0,0,0,0
crossplane-contrib / provider-yandex-cloud,https://github.com/crossplane-contrib/provider-yandex-cloud,A @crossplane provider for @yandex cloud,3,3,0,2022-05-17,2021-09-10,0001-01-01,,0,0,0,0
crossplane-contrib / provider-secret,https://github.com/crossplane-contrib/provider-secret,,1,5,0,2022-05-15,2020-11-23,0001-01-01,,0,0,0,0
hprotzek / provider-jet-okta,https://github.com/hprotzek/provider-jet-okta,Crossplane Okta Jet Provider,0,2,0,2022-05-11,2022-05-03,0001-01-01,,0,0,0,0
j-griffith / terrajet-eksctl,https://github.com/j-griffith/terrajet-eksctl,,0,1,0,2022-05-11,2022-05-11,0001-01-01,,0,0,0,0
tmiller / provider-jet-keycloak,https://github.com/tmiller/provider-jet-keycloak,Do not USE!,0,1,0,2022-05-10,2022-05-10,0001-01-01,,0,0,0,0
CanerSermet57 / provider-jet-template-TEST,https://github.com/CanerSermet57/provider-jet-template-TEST,,0,1,0,2022-05-07,2022-05-07,0001-01-01,,0,0,0,0
stevendborrelli / provider-echo,https://github.com/stevendborrelli/provider-echo,Testing provider that echoes values sent to it ,0,1,0,2022-05-04,2022-05-04,0001-01-01,,0,0,0,0
yannickcastano / crossplane-aci,https://github.com/yannickcastano/crossplane-aci,,0,1,0,2022-05-03,2022-05-03,0001-01-01,,0,0,0,0
vestas / provider-jet-vsphere,https://github.com/vestas/provider-jet-vsphere,vSphere Provider for Crossplane that is built with Terrajet.,0,1,0,2022-04-29,2022-04-29,0001-01-01,,0,0,0,0
tanujd11 / provider-jet-aws,https://github.com/tanujd11/provider-jet-aws,,0,1,0,2022-04-29,2022-04-29,0001-01-01,,0,0,0,0
halochou / crossplane-provider-jet-openstack,https://github.com/halochou/crossplane-provider-jet-openstack,,0,1,0,2022-04-28,2022-04-28,0001-01-01,,0,0,0,0
spectrocloud / provider-jet-palette,https://github.com/spectrocloud/provider-jet-palette,Crossplane Provider for Spectro Cloud Palette,0,5,0,2022-04-28,2022-04-25,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-mongodbatlas,https://github.com/crossplane-contrib/provider-jet-mongodbatlas,MongoDB Atlas Provider based on Terrajet,5,5,2,2022-04-28,2021-12-21,2022-04-29,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-mongodbatlas@v0.3.0,39,39,0,0
dirien / provider-minectl,https://github.com/dirien/provider-minectl,A @crossplane provider for minectl 🗺,2,1,10,2022-04-26,2021-08-28,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-rancher,https://github.com/crossplane-contrib/provider-jet-rancher,,0,4,3,2022-04-23,2022-01-26,2022-01-26,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-rancher@v0.1.0,53,53,0,0
grafana / crossplane-provider-grafana,https://github.com/grafana/crossplane-provider-grafana,Crossplane provider of https://github.com/grafana/terraform-provider-grafana. Generated by https://github.com/crossplane/terrajet,8,103,0,2022-04-22,2022-02-03,0001-01-01,,0,0,0,0
perlinger / provider-jet-github,https://github.com/perlinger/provider-jet-github,,0,1,0,2022-04-11,2022-04-11,0001-01-01,,0,0,0,0
perlinger / provider-jet-github-olded,https://github.com/perlinger/provider-jet-github-olded,,0,1,0,2022-04-11,2022-04-05,0001-01-01,,0,0,0,0
elvis-cai / provider-jet-github,https://github.com/elvis-cai/provider-jet-github,,0,1,0,2022-04-07,2022-04-07,0001-01-01,,0,0,0,0
shahidv3 / provider-jet-oracle,https://github.com/shahidv3/provider-jet-oracle,,1,2,0,2022-04-05,2021-12-29,0001-01-01,,0,0,0,0
malarinv / provider-jet-gitea,https://github.com/malarinv/provider-jet-gitea,Gitea Provider for Crossplane that is built with Terrajet.,0,2,0,2022-04-02,2022-04-02,0001-01-01,,0,0,0,0
perlinger / provider-jet-github-readme,https://github.com/perlinger/provider-jet-github-readme,,0,1,0,2022-04-01,2022-04-01,0001-01-01,,0,0,0,0
perlinger / provider-jet-github-orig,https://github.com/perlinger/provider-jet-github-orig,,0,1,0,2022-04-01,2022-02-28,0001-01-01,,0,0,0,0
moeller142 / provider-test,https://github.com/moeller142/provider-test,,0,1,0,2022-03-31,2022-03-31,0001-01-01,,0,0,0,0
