Repository,URL,Description,Stars,Subscribers,Open Issues,Last Update,Created,Last Release,Docs,CRDs Total,CRDs Alpha,CRDs Beta,CRDs V1
crossplane-contrib / provider-azure,https://github.com/crossplane-contrib/provider-azure,Crossplane Azure Provider,63,18,86,2022-05-30,2019-08-30,2022-05-20,https://doc.crds.dev/github.com/crossplane-contrib/provider-azure@v0.19.0,24,17,7,0
crossplane-contrib / provider-gcp-beta,https://github.com/crossplane-contrib/provider-gcp-beta,Crossplane Google Cloud Platform (GCP) infrastructure provider. provider-gcp-beta contains managed resources relying on beta APIs of GCP APIs.,7,7,0,2022-05-27,2021-03-31,2021-09-20,https://doc.crds.dev/github.com/crossplane-contrib/provider-gcp-beta@v0.1.0,6,2,4,0
crossplane-contrib / provider-argocd,https://github.com/crossplane-contrib/provider-argocd,Crossplane provider to provision and manage ArgoCD objects,24,10,7,2022-05-26,2021-04-06,2021-12-15,https://doc.crds.dev/github.com/crossplane-contrib/provider-argocd@v0.1.0,5,5,0,0
multicloudlab / crossplane-provider-ansible,https://github.com/multicloudlab/crossplane-provider-ansible,Crossplane Ansible provider,10,4,6,2022-05-26,2021-11-24,2022-05-20,https://doc.crds.dev/github.com/multicloudlab/crossplane-provider-ansible@v0.1.0,3,3,0,0
janwillies / provider-jet-akamai,https://github.com/janwillies/provider-jet-akamai,,1,1,0,2022-05-25,2022-02-03,0001-01-01,,0,0,0,0
vshn / provider-jet-cloudscale,https://github.com/vshn/provider-jet-cloudscale,Terrajet-based provider for cloudscale.ch,0,4,1,2022-05-24,2022-05-02,2022-05-24,https://doc.crds.dev/github.com/vshn/provider-jet-cloudscale@v0.3.0,4,4,0,0
hprotzek / provider-jet-okta,https://github.com/hprotzek/provider-jet-okta,Crossplane Okta Jet Provider,0,2,0,2022-05-11,2022-05-03,0001-01-01,,0,0,0,0
hprotzek / provider-jet-okta,https://github.com/hprotzek/provider-jet-okta,Crossplane Okta Jet Provider,0,2,0,2022-05-11,2022-05-03,0001-01-01,,0,0,0,0
ricable / provider-jet-harvester,https://github.com/ricable/provider-jet-harvester,,0,1,0,2022-05-11,2022-05-11,0001-01-01,,0,0,0,0
stevendborrelli / provider-echo,https://github.com/stevendborrelli/provider-echo,Testing provider that echoes values sent to it ,0,1,0,2022-05-04,2022-05-04,0001-01-01,,0,0,0,0
yannickcastano / crossplane-aci,https://github.com/yannickcastano/crossplane-aci,,0,1,0,2022-05-03,2022-05-03,0001-01-01,,0,0,0,0
remyleone / crossplane-scaleway-provider,https://github.com/remyleone/crossplane-scaleway-provider,Scaleway provider for Crossplane ,5,2,0,2022-05-02,2022-01-31,2022-02-14,https://doc.crds.dev/github.com/remyleone/crossplane-scaleway-provider@v0.0.1,41,41,0,0
vestas / provider-jet-vsphere,https://github.com/vestas/provider-jet-vsphere,vSphere Provider for Crossplane that is built with Terrajet.,0,1,0,2022-04-29,2022-04-29,0001-01-01,,0,0,0,0
tanujd11 / provider-jet-aws,https://github.com/tanujd11/provider-jet-aws,,0,1,0,2022-04-29,2022-04-29,0001-01-01,,0,0,0,0
halochou / crossplane-provider-jet-openstack,https://github.com/halochou/crossplane-provider-jet-openstack,,0,1,0,2022-04-28,2022-04-28,0001-01-01,,0,0,0,0
spectrocloud / provider-jet-palette,https://github.com/spectrocloud/provider-jet-palette,Crossplane Provider for Spectro Cloud Palette,0,6,0,2022-04-28,2022-04-25,0001-01-01,,0,0,0,0
dirien / provider-minectl,https://github.com/dirien/provider-minectl,A @crossplane provider for minectl 🗺,2,1,10,2022-04-26,2021-08-28,0001-01-01,,0,0,0,0
Striar-Yunis / provider-jet-rke,https://github.com/Striar-Yunis/provider-jet-rke,Crossplane Provider created with Terrajet from RKE Terraform Provider. ,0,1,0,2022-04-25,2022-04-25,0001-01-01,,0,0,0,0
grafana / crossplane-provider-grafana,https://github.com/grafana/crossplane-provider-grafana,Crossplane provider of https://github.com/grafana/terraform-provider-grafana. Generated by https://github.com/crossplane/terrajet,8,101,0,2022-04-22,2022-02-03,2022-03-31,https://doc.crds.dev/github.com/grafana/crossplane-provider-grafana@v0.1.0,27,27,0,0
opendevsecopsio / terrajet-template,https://github.com/opendevsecopsio/terrajet-template,,0,1,0,2022-04-15,2022-04-15,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-pagerduty,https://github.com/crossplane-contrib/provider-jet-pagerduty,,7,2,0,2022-04-14,2022-03-07,2022-04-15,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-pagerduty@v0.2.0,27,27,0,0
