Repository,URL,Description,Stars,Subscribers,Open Issues,Last Update,Created,Last Release,Docs,CRDs Total,CRDs Alpha,CRDs Beta,CRDs V1
crossplane / provider-aws,https://github.com/crossplane/provider-aws,Crossplane AWS Provider,213,22,219,2022-05-12,2019-09-01,2022-05-11,https://doc.crds.dev/github.com/crossplane/provider-aws@v0.27.0,161,124,37,0
crossplane-contrib / provider-sql,https://github.com/crossplane-contrib/provider-sql,An SQL provider for @crossplane,35,7,23,2022-05-12,2020-10-05,2022-03-22,https://doc.crds.dev/github.com/crossplane-contrib/provider-sql@v0.4.1,16,16,0,0
crossplane / provider-gcp,https://github.com/crossplane/provider-gcp,Crossplane GCP provider,78,17,73,2022-05-11,2019-08-23,2022-03-23,https://doc.crds.dev/github.com/crossplane/provider-gcp@v0.21.0,28,17,11,0
hprotzek / provider-jet-okta,https://github.com/hprotzek/provider-jet-okta,Crossplane Okta Jet Provider,0,1,0,2022-05-11,2022-05-03,0001-01-01,,0,0,0,0
crossplane-contrib / provider-terraform,https://github.com/crossplane-contrib/provider-terraform,A @crossplane provider for Terraform,48,10,14,2022-05-10,2021-03-06,2022-04-07,https://doc.crds.dev/github.com/crossplane-contrib/provider-terraform@v0.2.0,3,3,0,0
crossplane-contrib / provider-jet-aws,https://github.com/crossplane-contrib/provider-jet-aws,AWS Provider for Crossplane that is built with Terrajet.,29,6,24,2022-05-10,2021-08-09,2022-03-17,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-aws@v0.4.2,81,81,0,0
crossplane-contrib / provider-kubernetes,https://github.com/crossplane-contrib/provider-kubernetes,Crossplane provider to provision and manage Kubernetes objects on (remote) Kubernetes clusters.,45,9,13,2022-05-09,2021-07-13,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-template,https://github.com/crossplane-contrib/provider-jet-template,A template for building terrajet based @crossplane providers,11,5,3,2022-05-09,2021-10-22,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-gcp,https://github.com/crossplane-contrib/provider-jet-gcp,GCP Provider for Crossplane generated using Terrajet,11,5,14,2022-05-09,2021-10-26,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-azure,https://github.com/crossplane-contrib/provider-jet-azure,,8,8,21,2022-05-07,2021-09-01,2022-04-06,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-azure@v0.9.0-preview,647,647,0,0
crossplane / provider-template,https://github.com/crossplane/provider-template,A template for building @crossplane providers.,49,8,9,2022-05-05,2020-07-16,0001-01-01,,0,0,0,0
crossplane-contrib / provider-digitalocean,https://github.com/crossplane-contrib/provider-digitalocean,Crossplane DigitalOcean infrastructure provider,20,7,21,2022-05-05,2020-12-16,2022-01-30,https://doc.crds.dev/github.com/crossplane-contrib/provider-digitalocean@v0.1.0,6,6,0,0
vshn / provider-jet-cloudscale,https://github.com/vshn/provider-jet-cloudscale,Terrajet-based provider for cloudscale.ch,0,4,2,2022-05-05,2022-05-02,0001-01-01,,0,0,0,0
stevendborrelli / provider-echo,https://github.com/stevendborrelli/provider-echo,Testing provider that echoes values sent to it ,0,1,0,2022-05-04,2022-05-04,0001-01-01,,0,0,0,0
yannickcastano / crossplane-aci,https://github.com/yannickcastano/crossplane-aci,,0,1,0,2022-05-03,2022-05-03,0001-01-01,,0,0,0,0
crossplane-contrib / provider-civo,https://github.com/crossplane-contrib/provider-civo,,13,4,9,2022-05-02,2021-07-13,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-datadog,https://github.com/crossplane-contrib/provider-jet-datadog,@crossplane provider to drive @datadog configuration control plane way,2,4,2,2022-05-01,2022-04-21,2022-04-22,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-datadog@v0.1.0,6,6,0,0
vestas / provider-jet-vsphere,https://github.com/vestas/provider-jet-vsphere,vSphere Provider for Crossplane that is built with Terrajet.,0,1,0,2022-04-29,2022-04-29,0001-01-01,,0,0,0,0
