Repository,URL,Description,Stars,Subscribers,Open Issues,Last Update,Created,Last Release,Docs,CRDs Total,CRDs Alpha,CRDs Beta,CRDs V1
crossplane-contrib / provider-jet-mongodbatlas,https://github.com/crossplane-contrib/provider-jet-mongodbatlas,MongoDB Atlas Provider based on Terrajet,8,5,3,2022-09-09,2021-12-21,2022-04-29,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-mongodbatlas@v0.3.0,39,39,0,0
crossplane-contrib / provider-argocd,https://github.com/crossplane-contrib/provider-argocd,Crossplane provider to provision and manage ArgoCD objects,33,10,7,2022-09-09,2021-04-06,2021-12-15,https://doc.crds.dev/github.com/crossplane-contrib/provider-argocd@v0.1.0,5,5,0,0
crossplane-contrib / provider-terraform,https://github.com/crossplane-contrib/provider-terraform,A @crossplane provider for Terraform,70,10,21,2022-09-09,2021-03-06,2022-08-10,https://doc.crds.dev/github.com/crossplane-contrib/provider-terraform@v0.3.0,3,3,0,0
crossplane-contrib / provider-cloudflare,https://github.com/crossplane-contrib/provider-cloudflare,A Cloudflare provider for Crossplane,16,2,7,2022-09-08,2021-03-10,0001-01-01,,0,0,0,0
multicloudlab / crossplane-provider-ansible,https://github.com/multicloudlab/crossplane-provider-ansible,Crossplane Ansible provider,12,3,8,2022-09-08,2021-11-24,2022-08-29,https://doc.crds.dev/github.com/multicloudlab/crossplane-provider-ansible@v0.2.0,3,3,0,0
crossplane-contrib / provider-aws,https://github.com/crossplane-contrib/provider-aws,Crossplane AWS Provider,258,22,213,2022-09-07,2019-09-01,2022-08-25,https://doc.crds.dev/github.com/crossplane-contrib/provider-aws@v0.31.0,173,136,37,0
crossplane-contrib / provider-sql,https://github.com/crossplane-contrib/provider-sql,An SQL provider for @crossplane,46,8,27,2022-09-07,2020-10-05,2022-05-19,https://doc.crds.dev/github.com/crossplane-contrib/provider-sql@v0.5.0,16,16,0,0
crossplane-contrib / provider-zpa,https://github.com/crossplane-contrib/provider-zpa,An experimental crossplane provider for @zscaler zpa,5,1,1,2022-09-06,2021-10-24,2022-09-07,https://doc.crds.dev/github.com/crossplane-contrib/provider-zpa@v0.3.0,6,6,0,0
crossplane-contrib / provider-capi,https://github.com/crossplane-contrib/provider-capi,@crossplane provider for @kubernetes-sigs Cluster API,12,3,1,2022-09-05,2020-11-12,0001-01-01,,0,0,0,0
crossplane-contrib / provider-helm,https://github.com/crossplane-contrib/provider-helm,Crossplane Helm Provider,58,14,32,2022-09-05,2020-07-22,2022-03-11,https://doc.crds.dev/github.com/crossplane-contrib/provider-helm@v0.10.0,3,0,3,0
