Repository,URL,Description,Stars,Subscribers,Open Issues,Last Update,Created,Last Release,Docs,CRDs Total,CRDs Alpha,CRDs Beta,CRDs V1
crossplane-contrib / provider-azure,https://github.com/crossplane-contrib/provider-azure,Crossplane Azure Provider,71,19,89,2022-08-05,2019-08-30,2022-05-20,https://doc.crds.dev/github.com/crossplane-contrib/provider-azure@v0.19.0,24,17,7,0
crossplane-contrib / provider-terraform,https://github.com/crossplane-contrib/provider-terraform,A @crossplane provider for Terraform,67,10,21,2022-08-03,2021-03-06,2022-04-07,https://doc.crds.dev/github.com/crossplane-contrib/provider-terraform@v0.2.0,3,3,0,0
ionos-cloud / crossplane-provider-ionoscloud,https://github.com/ionos-cloud/crossplane-provider-ionoscloud,The Crossplane Provider for IONOS Cloud gives the ability to manage IONOS Cloud infrastructure directly from Kubernetes.,5,4,0,2022-08-03,2022-01-26,2022-07-28,https://doc.crds.dev/github.com/ionos-cloud/crossplane-provider-ionoscloud@v1.0.0,18,18,0,0
crossplane / provider-template,https://github.com/crossplane/provider-template,A template for building @crossplane providers.,57,9,12,2022-08-02,2020-07-16,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-mongodbatlas,https://github.com/crossplane-contrib/provider-jet-mongodbatlas,MongoDB Atlas Provider based on Terrajet,7,5,3,2022-08-01,2021-12-21,2022-04-29,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-mongodbatlas@v0.3.0,39,39,0,0
crossplane-contrib / provider-gcp,https://github.com/crossplane-contrib/provider-gcp,Crossplane GCP provider,85,16,80,2022-07-31,2019-08-23,2022-03-23,https://doc.crds.dev/github.com/crossplane-contrib/provider-gcp@v0.21.0,28,17,11,0
vshn / provider-jet-cloudscale,https://github.com/vshn/provider-jet-cloudscale,Terrajet-based provider for cloudscale.ch,0,4,1,2022-07-26,2022-05-02,2022-05-24,https://doc.crds.dev/github.com/vshn/provider-jet-cloudscale@v0.3.0,4,4,0,0
IBM / crossplane-provider-ibm-cloud,https://github.com/IBM/crossplane-provider-ibm-cloud,IBM Bedrock version of Crossplane Provider for IBM Cloud,1,5,1,2022-07-23,2021-11-30,0001-01-01,,0,0,0,0
crossplane-contrib / provider-kubernetes,https://github.com/crossplane-contrib/provider-kubernetes,Crossplane provider to provision and manage Kubernetes objects on (remote) Kubernetes clusters.,52,10,14,2022-07-20,2021-07-13,2022-07-29,https://doc.crds.dev/github.com/crossplane-contrib/provider-kubernetes@v0.4.0,3,3,0,0
crossplane-contrib / provider-kafka,https://github.com/crossplane-contrib/provider-kafka,Crossplane provider for Kafka,15,12,5,2022-07-18,2021-10-06,0001-01-01,,0,0,0,0
Sijoma / crossplane-provider-camunda,https://github.com/Sijoma/crossplane-provider-camunda,Crossplane provider for Camunda SaaS,0,1,0,2022-07-11,2022-05-21,0001-01-01,,0,0,0,0
spectrocloud / provider-jet-palette,https://github.com/spectrocloud/provider-jet-palette,Crossplane Provider for Spectro Cloud Palette,1,5,0,2022-06-21,2022-04-25,0001-01-01,,0,0,0,0
crossplane-contrib / provider-ssh,https://github.com/crossplane-contrib/provider-ssh,@crossplane SSH Provider,5,3,1,2022-06-19,2020-09-18,0001-01-01,,0,0,0,0
hasheddan / kc-provider-github,https://github.com/hasheddan/kc-provider-github,@github provider for @crossplane - Kubecon NA 2020,3,2,0,2022-06-18,2020-10-15,0001-01-01,,0,0,0,0
herveleclerc / crossplane-provider-azure,https://github.com/herveleclerc/crossplane-provider-azure,En attendant le fix-298,1,1,0,2022-06-10,2021-12-07,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-linode,https://github.com/crossplane-contrib/provider-jet-linode,,0,3,3,2022-06-07,2021-12-02,0001-01-01,,0,0,0,0
crossplane-contrib / provider-linode,https://github.com/crossplane-contrib/provider-linode,Demonstrative Crossplane Stack for Linode resources,3,3,1,2022-06-07,2019-09-16,0001-01-01,,0,0,0,0
alperencelik / crossplane-terrajet-sample,https://github.com/alperencelik/crossplane-terrajet-sample,Repository to test terrajet for vsphere,0,1,0,2022-06-02,2022-06-02,0001-01-01,,0,0,0,0
crossplane-contrib / provider-gcp-beta,https://github.com/crossplane-contrib/provider-gcp-beta,Crossplane Google Cloud Platform (GCP) infrastructure provider. provider-gcp-beta contains managed resources relying on beta APIs of GCP APIs.,7,7,0,2022-05-27,2021-03-31,2021-09-20,https://doc.crds.dev/github.com/crossplane-contrib/provider-gcp-beta@v0.1.0,6,2,4,0
janwillies / provider-jet-akamai,https://github.com/janwillies/provider-jet-akamai,,1,1,0,2022-05-25,2022-02-03,0001-01-01,,0,0,0,0
crossplane-contrib / provider-civo,https://github.com/crossplane-contrib/provider-civo,,12,4,10,2022-05-25,2021-07-13,0001-01-01,,0,0,0,0
jabbrwcky / provider-b2,https://github.com/jabbrwcky/provider-b2,Backblaze Crossplane Provider,0,1,0,2022-05-24,2022-05-24,0001-01-01,,0,0,0,0
poblin-orange / provider-jet-cf,https://github.com/poblin-orange/provider-jet-cf,experimental crossplane provider for cf,0,1,0,2022-05-21,2022-05-21,0001-01-01,,0,0,0,0
davidcollom / crossplane-jet-cloudflare,https://github.com/davidcollom/crossplane-jet-cloudflare,,1,1,1,2022-05-20,2022-03-14,2022-03-16,https://doc.crds.dev/github.com/davidcollom/crossplane-jet-cloudflare@0.0.1,65,65,0,0
lechugaletal / test,https://github.com/lechugaletal/test,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
rajan2 / provider-planetscale,https://github.com/rajan2/provider-planetscale,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
ig12 / crossplanprovider,https://github.com/ig12/crossplanprovider,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
j-gourdon / planet-scale-provider,https://github.com/j-gourdon/planet-scale-provider,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
vasu1124 / provider-planetscale,https://github.com/vasu1124/provider-planetscale,,0,2,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
samidbb / provider-planetscale,https://github.com/samidbb/provider-planetscale,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
william86370 / vsphere-jet-template,https://github.com/william86370/vsphere-jet-template,,0,1,0,2022-05-17,2022-05-17,0001-01-01,,0,0,0,0
headyj / crossplane-provider-neo4j,https://github.com/headyj/crossplane-provider-neo4j,,0,1,0,2022-05-17,2022-05-17,0001-01-01,,0,0,0,0
crossplane-contrib / provider-yandex-cloud,https://github.com/crossplane-contrib/provider-yandex-cloud,A @crossplane provider for @yandex cloud,3,3,0,2022-05-17,2021-09-10,0001-01-01,,0,0,0,0
