Repository,URL,Description,Stars,Subscribers,Open Issues,Last Update,Created,Last Release,Docs,CRDs Total,CRDs Alpha,CRDs Beta,CRDs V1
crossplane-contrib / provider-linode,https://github.com/crossplane-contrib/provider-linode,Demonstrative Crossplane Stack for Linode resources,3,3,1,2022-06-07,2019-09-16,0001-01-01,,0,0,0,0
marcosQuesada / provider-planetscale,https://github.com/marcosQuesada/provider-planetscale,,0,1,0,2022-06-04,2022-06-04,0001-01-01,,0,0,0,0
yandex-cloud / provider-jet-yc,https://github.com/yandex-cloud/provider-jet-yc,Crossplane provider for Yandex.Cloud,6,14,3,2022-06-04,2021-12-13,0001-01-01,,0,0,0,0
jdotw / provider-harbor,https://github.com/jdotw/provider-harbor,,0,1,0,2022-05-29,2022-05-29,0001-01-01,,0,0,0,0
ionos-cloud / crossplane-provider-ionoscloud,https://github.com/ionos-cloud/crossplane-provider-ionoscloud,The Crossplane Provider for IONOS Cloud gives the ability to manage IONOS Cloud infrastructure directly from Kubernetes.,3,4,0,2022-05-29,2022-01-26,2022-05-25,https://doc.crds.dev/github.com/ionos-cloud/crossplane-provider-ionoscloud@v1.0.0-beta.1,14,14,0,0
jcooklin / provider-okta,https://github.com/jcooklin/provider-okta,,0,1,0,2022-05-28,2022-05-28,0001-01-01,,0,0,0,0
crossplane-contrib / provider-gcp,https://github.com/crossplane-contrib/provider-gcp,Crossplane GCP provider,81,17,72,2022-05-26,2019-08-23,2022-03-23,https://doc.crds.dev/github.com/crossplane-contrib/provider-gcp@v0.21.0,28,17,11,0
multicloudlab / crossplane-provider-ansible,https://github.com/multicloudlab/crossplane-provider-ansible,Crossplane Ansible provider,10,4,5,2022-05-26,2021-11-24,2022-05-20,https://doc.crds.dev/github.com/multicloudlab/crossplane-provider-ansible@v0.1.0,3,3,0,0
janwillies / provider-jet-akamai,https://github.com/janwillies/provider-jet-akamai,,1,1,0,2022-05-25,2022-02-03,0001-01-01,,0,0,0,0
jabbrwcky / provider-b2,https://github.com/jabbrwcky/provider-b2,Backblaze Crossplane Provider,0,1,0,2022-05-24,2022-05-24,0001-01-01,,0,0,0,0
vshn / provider-jet-cloudscale,https://github.com/vshn/provider-jet-cloudscale,Terrajet-based provider for cloudscale.ch,0,4,1,2022-05-24,2022-05-02,2022-05-24,https://doc.crds.dev/github.com/vshn/provider-jet-cloudscale@v0.3.0,4,4,0,0
ewadegam / crossplane-provider-splunk,https://github.com/ewadegam/crossplane-provider-splunk,,0,1,0,2022-05-21,2022-05-21,0001-01-01,,0,0,0,0
poblin-orange / provider-jet-cf,https://github.com/poblin-orange/provider-jet-cf,experimental crossplane provider for cf,0,1,0,2022-05-21,2022-05-21,0001-01-01,,0,0,0,0
davidcollom / crossplane-jet-cloudflare,https://github.com/davidcollom/crossplane-jet-cloudflare,,1,1,1,2022-05-20,2022-03-14,2022-03-16,https://doc.crds.dev/github.com/davidcollom/crossplane-jet-cloudflare@0.0.1,65,65,0,0
lechugaletal / test,https://github.com/lechugaletal/test,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
kbabiak / crossplane-provider-demo,https://github.com/kbabiak/crossplane-provider-demo,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
rajan2 / provider-planetscale,https://github.com/rajan2/provider-planetscale,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
crossplane / provider-template,https://github.com/crossplane/provider-template,A template for building @crossplane providers.,52,8,7,2022-05-20,2020-07-16,0001-01-01,,0,0,0,0
ig12 / crossplanprovider,https://github.com/ig12/crossplanprovider,,0,1,0,2022-05-20,2022-05-20,0001-01-01,,0,0,0,0
