Repository,URL,Description,Stars,Subscribers,Open Issues,Last Update,Created,Last Release,Docs,CRDs Total,CRDs Alpha,CRDs Beta,CRDs V1
crossplane-contrib / provider-sql,https://github.com/crossplane-contrib/provider-sql,An SQL provider for @crossplane,36,7,16,2022-05-23,2020-10-05,2022-05-19,https://doc.crds.dev/github.com/crossplane-contrib/provider-sql@v0.5.0,16,16,0,0
crossplane-contrib / provider-jet-vault,https://github.com/crossplane-contrib/provider-jet-vault,Generated crossplane provider for vault,3,1,3,2022-05-23,2022-03-04,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-template,https://github.com/crossplane-contrib/provider-jet-template,A template for building terrajet based @crossplane providers,12,5,3,2022-05-20,2021-10-22,0001-01-01,,0,0,0,0
crossplane / provider-azure,https://github.com/crossplane/provider-azure,Crossplane Azure Provider,60,17,86,2022-05-20,2019-08-30,2022-05-20,https://doc.crds.dev/github.com/crossplane/provider-azure@v0.19.0,24,17,7,0
davidcollom / crossplane-jet-cloudflare,https://github.com/davidcollom/crossplane-jet-cloudflare,,1,1,1,2022-05-20,2022-03-14,2022-03-16,https://doc.crds.dev/github.com/davidcollom/crossplane-jet-cloudflare@0.0.1,65,65,0,0
crossplane / provider-template,https://github.com/crossplane/provider-template,A template for building @crossplane providers.,52,8,7,2022-05-20,2020-07-16,0001-01-01,,0,0,0,0
crossplane-contrib / provider-kafka,https://github.com/crossplane-contrib/provider-kafka,Crossplane provider for Kafka,12,11,6,2022-05-18,2021-10-06,2022-04-06,https://doc.crds.dev/github.com/crossplane-contrib/provider-kafka@v0.1.0,4,4,0,0
crossplane-contrib / provider-jet-datadog,https://github.com/crossplane-contrib/provider-jet-datadog,@crossplane provider to drive @datadog configuration control plane way,2,4,4,2022-05-16,2022-04-21,2022-04-22,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-datadog@v0.1.0,6,6,0,0
hprotzek / provider-jet-okta,https://github.com/hprotzek/provider-jet-okta,Crossplane Okta Jet Provider,0,2,0,2022-05-11,2022-05-03,0001-01-01,,0,0,0,0
crossplane-contrib / provider-jet-aws,https://github.com/crossplane-contrib/provider-jet-aws,AWS Provider for Crossplane that is built with Terrajet.,29,6,24,2022-05-10,2021-08-09,2022-03-17,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-aws@v0.4.2,81,81,0,0
crossplane-contrib / provider-jet-gcp,https://github.com/crossplane-contrib/provider-jet-gcp,GCP Provider for Crossplane generated using Terrajet,11,5,14,2022-05-09,2021-10-26,2022-01-07,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-gcp@v0.2.0-preview,438,438,0,0
crossplane-contrib / provider-jet-azure,https://github.com/crossplane-contrib/provider-jet-azure,,8,8,21,2022-05-07,2021-09-01,2022-05-17,https://doc.crds.dev/github.com/crossplane-contrib/provider-jet-azure@v0.10.0-preview,648,648,0,0
crossplane-contrib / provider-digitalocean,https://github.com/crossplane-contrib/provider-digitalocean,Crossplane DigitalOcean infrastructure provider,20,7,20,2022-05-05,2020-12-16,2022-01-30,https://doc.crds.dev/github.com/crossplane-contrib/provider-digitalocean@v0.1.0,6,6,0,0
vshn / provider-jet-cloudscale,https://github.com/vshn/provider-jet-cloudscale,Terrajet-based provider for cloudscale.ch,0,4,2,2022-05-05,2022-05-02,0001-01-01,,0,0,0,0
yannickcastano / crossplane-aci,https://github.com/yannickcastano/crossplane-aci,,0,1,0,2022-05-03,2022-05-03,0001-01-01,,0,0,0,0
